id,RA_C,DEC_C,RA_M,DEC_M,DIF,MAG_R,MAG_V,MAG_B,MAG_err,CMAG_R,CMAG_V,CMAG_B,DATETIME,IMGNAME
642-092649,305.8279359,38.388335599999998,305.82811943373144,38.388148983392966,0.84799999999999998,---,---,11.245349850020647,0.0014228672083927312,---,---,11.159999847412109,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.90188368052446,38.403322982095176,nan,---,---,13.792167675528553,0.004597565611890125,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094286,306.15079300000002,38.443072800000003,306.15083584859468,38.443013382283269,0.246,---,---,12.383853707605907,0.0024036163093671594,---,---,12.265999794006348,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094162,305.97926330000001,38.466352000000001,305.97933051517981,38.466268228841322,0.35599999999999998,---,---,10.118484042470051,0.00084682020010879149,---,---,10.163000106811523,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094068,305.89056649999998,38.458473400000003,305.89106148488975,38.458734539607569,1.6819999999999999,---,---,12.774927600183327,0.0028779279744690425,---,---,12.605999946594238,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.89046627090283,38.458177470296604,nan,---,---,12.752679423058829,0.0028485922295732576,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094261,306.10511059999999,38.485246400000001,306.10504514850624,38.485175441962475,0.315,---,---,10.400881672185093,0.00096443005291250267,---,---,10.309000015258789,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094105,305.92853769999999,38.475976199999998,305.92834507669016,38.475803601564536,0.82499999999999996,---,---,12.078802578215123,0.0020885982814079413,---,---,12.53600025177002,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.92893177307332,38.476312394900063,nan,---,---,12.026605276376236,0.0020389916906940597,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094203,306.02728089999999,38.492551200000001,306.02733206195228,38.492514261323734,0.19600000000000001,---,---,9.7857099001558545,0.00072650127480528676,---,---,9.8920001983642578,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094163,305.97948680000002,38.485575900000001,305.97964403621796,38.485642658415053,0.504,---,---,12.175504104062369,0.0021837113002091627,---,---,12.270999908447266,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094143,305.96252529999998,38.492860899999997,305.96243938378694,38.492715953651683,0.57499999999999996,---,---,9.0388103621249982,0.00051505839845005863,---,---,9.369999885559082,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-094180,305.9956353,38.560020000000002,305.99584309286695,38.560179034632824,0.81799999999999995,---,---,10.897473512070478,0.0012122413757090626,---,---,10.866999626159668,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
643-093978,305.80089859999998,38.574953100000002,305.80099373814227,38.574492377552275,1.6799999999999999,---,---,12.358309570967835,0.0023755070019250675,---,---,11.065999984741211,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
nan,nan,nan,305.87976480558979,38.52234960915338,nan,---,---,13.004008253733575,0.0031981295442899448,---,---,nan,2018-06-25 02:48:53.698000,M 29_Light_B_20180625_00000270.fits
